date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:48	633/633	---MCZ	200	added ('OK')	text/plain	date:Mon,%2019%20Jan%202026%2016:05:48%20GMT	https://onhugbahtochnow.sbs/robots.txt		(from )
13:05:49	4295/4295	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Jan%202026%2002:28:47%20GMT	https://onhugbahtochnow.sbs/	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/index.html	(from )
13:05:49	73890/73890	---MCZ	200	added ('OK')	text/css	etag:W/%22120a2-gjDEWQ7ukV6bWHoI9uWT+3f//rI%22	https://cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@6/css/all.min.css	C:/Meus%20Sites/clone%20cnh%20digital/cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@6/css/all.min.css	(from https://onhugbahtochnow.sbs/)
13:05:51	98960/98960	---M-Z	200	added ('OK')	text/css	etag:%2218290-646ada46a9980-gzip%22	https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css	(from https://onhugbahtochnow.sbs/)
13:05:51	763841/763841	---MCZ	200	added ('OK')	text/javascript	etag:%22ba7c1-648105363f400-gzip%22	https://onhugbahtochnow.sbs/assets/index-f8rMPGcv.js	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/index-f8rMPGcv.js	(from https://onhugbahtochnow.sbs/)
13:05:51	7799/7799	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jan%202026%2016:05:50%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Meus%20Sites/clone%20cnh%20digital/analytics.tiktok.com/i18n/pixel/events.js	(from https://onhugbahtochnow.sbs/)
13:05:51	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:51%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100.eot	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100.eot	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:52	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:51%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100.eot?	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100d41d.eot	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:52	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:52%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100.woff2	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100.woff2	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:53	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:52%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100.woff	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100.woff	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:54	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:53%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100.ttf	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100.ttf	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:54	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:54%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100.svg	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100.svg	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:55	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:54%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100i.eot	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100i.eot	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:55	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:54%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100i.eot?	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100id41d.eot	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:55	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:55%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100i.woff2	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100i.woff2	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:56	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:55%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100i.woff	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100i.woff	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:56	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:56%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100i.ttf	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100i.ttf	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:57	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:56%20GMT	https://onhugbahtochnow.sbs/assets/rawline-100i.svg	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-100i.svg	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
13:05:57	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202026%2016:05:56%20GMT	https://onhugbahtochnow.sbs/assets/rawline-200.eot	C:/Meus%20Sites/clone%20cnh%20digital/onhugbahtochnow.sbs/assets/rawline-200.eot	(from https://onhugbahtochnow.sbs/assets/index-Nk5hQ9Fp.css)
